Latitude,Longitude,Stop Name,Stop Status
40.643886,-73.90091,ROCKAWAY PY/FLATLANDS AV,approaching
40.644655,-73.901765,ROCKAWAY PY/FLATLANDS AV,< 1 stop away
40.631267,-73.886789,ROCKAWAY PKY/SKIDMORE AV,< 1 stop away
